127.0.0.1, 2020-08-31 11:09:34, GET, /Fresh/static/js/jquery.js, HTTP/1.1, 200, 0.076994
127.0.0.1, 2020-08-31 11:09:34, GET, /Fresh/static/js/web2py.js, HTTP/1.1, 200, 0.057996
127.0.0.1, 2020-08-31 11:09:34, GET, /Fresh/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.078994
127.0.0.1, 2020-08-31 11:09:34, GET, /Fresh/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.074996
127.0.0.1, 2020-08-31 11:09:34, GET, /Fresh/static/images/background.jpg, HTTP/1.1, 404, 0.001998
127.0.0.1, 2020-08-31 11:09:35, GET, /Fresh/static/images/favicon.ico, HTTP/1.1, 200, 0.003995
127.0.0.1, 2020-08-31 11:09:44, GET, /admin/default/site, HTTP/1.1, 200, 0.437439
127.0.0.1, 2020-08-31 11:09:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2020-08-31 11:09:48, GET, /admin/default/design/Fresh, HTTP/1.1, 200, 0.881783
127.0.0.1, 2020-08-31 11:09:48, GET, /admin/static/_2.20.4/images/help.png, HTTP/1.1, 200, 0.006003
127.0.0.1, 2020-08-31 11:09:48, GET, /admin/static/_2.20.4/images/search.png, HTTP/1.1, 200, 0.011001
127.0.0.1, 2020-08-31 11:09:48, GET, /admin/static/_2.20.4/images/test_icon.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2020-08-31 11:09:48, GET, /admin/static/_2.20.4/images/delete_icon.png, HTTP/1.1, 200, 0.006003
127.0.0.1, 2020-08-31 11:09:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2020-08-31 11:10:06, POST, /admin/default/create_file, HTTP/1.1, 303, 0.332977
127.0.0.1, 2020-08-31 11:10:06, GET, /admin/default/design/Fresh, HTTP/1.1, 200, 0.489963
127.0.0.1, 2020-08-31 11:10:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2020-08-31 11:10:29, GET, /admin/default/edit/Fresh/controllers/basic.py, HTTP/1.1, 200, 0.515965
127.0.0.1, 2020-08-31 11:10:29, GET, /admin/static/_2.20.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.023002
127.0.0.1, 2020-08-31 11:10:29, GET, /admin/static/_2.20.4/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.033996

127.0.0.1, 2020-08-31 11:10:29, GET, /admin/static/_2.20.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.059993
127.0.0.1, 2020-08-31 11:10:29, GET, /admin/static/_2.20.4/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.151988
127.0.0.1, 2020-08-31 11:10:29, GET, /admin/static/_2.20.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.123990
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.042002
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.029995
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.038997
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.023999
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.021001
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.034997
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.107000
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.100922
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.105992
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.015997
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.024998
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.027997
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.011996
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.014999
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.029999
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.028003
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.059999
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.065002
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.023996
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.303981
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.055995
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.060998
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.055995
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/js/typeahead.min.js, HTTP/1.1, 200, 0.027002
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.093994
127.0.0.1, 2020-08-31 11:10:30, GET, /admin/static/_2.20.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2020-08-31 11:10:31, GET, /admin/static/_2.20.4/images/files_toggle.png, HTTP/1.1, 200, 0.008996
127.0.0.1, 2020-08-31 11:10:32, GET, /admin/static/_2.20.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.014003
127.0.0.1, 2020-08-31 11:10:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-08-31 11:10:33, GET, /admin/default/edit/Fresh/controllers/basic.py, HTTP/1.1, 200, 0.345977
127.0.0.1, 2020-08-31 11:10:33, GET, /admin/static/_2.20.4/images/save_icon.png, HTTP/1.1, 200, 0.014996
